title,director,cast,rating,duration_minutes,description,year,imdb_rating,imdb_votes
Connected,Milton Kremer,"Hernán Cattáneo, Richard Coleman",TV-G,42,"Argentine DJ Hernán Cattáneo, known for his house music innovations, invites a symphonic orchestra for a four-night run at Buenos Aires' Teatro Colón.",2008,6.6,2563
Bigfoot Family,"Jérémie Degruson, Ben Stassen","Jules Wojciechowski, Roger Craig Smith, Grant George, David Lodge, Lindsey Alena, Sandy Fox, Joey Lotsko",TV-Y7,88,"Bigfoot’s now a big deal. So when he goes missing, his shy but tech-savvy teen son must take on an evil CEO to save his family and a wildlife preserve.",2020,5.8,3703
Crazy About Her,Dani de la Orden,"Álvaro Cervantes, Susana Abaitua, Luis Zahera, Clara Segura, Aixa Villagrán, Paula Malia, Nil Cardoner, Txell Aixendri, Alberto San Juan",TV-MA,107,"After spending a wild night together, Adri discovers the only way to see Carla again is to become a patient at the psychiatric center where she resides.",2021,6.6,6662
The Girl on the Train,Ribhu Dasgupta,"Parineeti Chopra, Aditi Rao Hydari, Kirti Kulhari, Avinash Tiwary, Tota Roy Chowdhury",TV-MA,120,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.,2016,6.5,203817
Geez & Ann,Rizki Balki,"Hanggini, Junior Roberts, Roy Sungkono, Shenina Cinnamon, Ashira Zamita, Amel Carla, Davina Karamoy, Naimma Aljufri, Andi Viola, Jasmine Elfira Burhan, Kezia Aletheia, Dewi Rezer, Ersa Mayori, Indra Brasco, Bobby Samuel, Ady Sky, Farhan Rasyid",TV-PG,106,"After falling for Geez, a heartthrob at school, Ann must confront family opposition, heartache and deception as their romance struggles.",2021,5.1,334
Brian Regan: On the Rocks,Troy Miller,Brian Regan,TV-G,58,"Brian Regan tackles the big issues weighing on him, including aging, time, obsessive behavior, backpacks on airplanes, ungrateful horses and raisins.",2021,6.9,764
Pelé,"David Tryhorn, Ben Nicholas",,TV-14,109,"Against the backdrop of a turbulent era in Brazil, this documentary captures Pelé’s extraordinary path from breakthrough talent to national hero.",2021,7.0,5815
Fate: The Winx Saga - The Afterparty,,"David Spade, London Hughes, Fortune Feimster, Abigail Cowen, Hannah Van Der Westhuysen, Precious Mustapha, Eliot Salt, Elisha Applebaum",TV-14,36,"Stars of the fiery hit discuss the show's magic, play trivia and chow down on hot wings. Then, Taylor Tomlinson shares how she would use fairy powers.",2021,6.4,169
I Care a Lot,J Blakeson,"Rosamund Pike, Peter Dinklage, Eiza González, Dianne Wiest, Chris Messina, Isiah Whitlock Jr., Macon Blair, Alicia Witt, Damian Young",R,118,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.,2020,6.4,150436
Animals on the Loose: A You vs. Wild Movie,Ben Simms,Bear Grylls,TV-PG,139,"When wild animals escape from a sanctuary, Bear Grylls — and you — must pursue them and secure their protective habitat. An interactive special.",2021,5.8,1066
Namaste Wahala,Hamisha Daryani Ahuja,"Ini Dima-Okojie, Ruslaan Mumtaz, Richard Mofe-Damijo, Joke Silva, Sujata Sehgal, Koye Kekere Ekun, Hamisha Daryani Ahuja, Anee Icha, Ibrahim Suleiman, Osas Ighodaro, Broda Shaggi",TV-14,107,An interracial romance hits humorous and heart-wrenching hiccups as the couple's parents fight tooth and nail against their relationship.,2021,4.9,1647
Hate by Dani Rovira,Mario Briongos,Dani Rovira,TV-MA,83,"From his hometown of Málaga, Dani Rovira reflects on human beings’ nonsensical hatred in this hilarious and unfiltered comedy special.",2021,6.7,471
Xico's Journey,Eric D. Cabello Díaz,"Verónica Alva, Pablo Gama Iturrarán “Mago Gamini”, Luis Ángel Jaramillo, Lila Downs, Elena Poniatowska, Verónica Castro, Enrique Guzmán, Alex Lora, Marco Antonio Solís, Víctor Trujillo",TV-Y7,87,"A girl, a dog and her best pal set out to save a mountain from a gold-hungry corporation. But the key lies closer to home, with her sidekick pup, Xico.",2020,5.2,669
Red Dot,Alain Darborg,"Nanna Blondell, Anastasios Soulis, Thomas Hanzon, Johannes Kuhnke, Tomas Bergström, Kalled Mustonen, Anna Azcárate",TV-MA,86,"Trying to rekindle their marriage and with a child on the way, a young couple on a ski trip suddenly finds themselves stalked by remorseless killers.",2021,5.5,15083
Squared Love,Filip Zylber,"Adrianna Chlebicka, Mateusz Banasiuk, Agnieszka Żulewska, Krzysztof Czeczot, Mirosław Baka, Tomasz Karolak, Bartłomiej Kotschedoff, Jacek Knap, Anna Smołowik, Helena Mazur, Sebastian Stankiewicz",TV-14,102,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,2021,5.1,3909
The Misadventures of Hedi and Cokeman,Julien Royal,"Hedi Bouchenafa, Nassim Lyes, Fred Testot, Julie Ferrier, Benjamin Tranié, Hugues Jourdain, Charlotte Gabris, Vincent Desagnat, Nina Kepekian, Hakim Jemili, Bun-hay Mean",TV-MA,99,"In Paris, two dysfunctional dealers use family ties to try to boost their small drug business in this crass comedy based on the webseries.",2021,4.5,769
Malcolm & Marie,Sam Levinson,"Zendaya, John David Washington",R,106,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.",2021,6.6,42160
Space Sweepers,Jo Sung-hee,"Song Joong-ki, Kim Tae-ri, Jin Sun-kyu, Yoo Hai-jin, Richard Armitage, Park Ye-rin",TV-MA,138,"Chasing after space debris and faraway dreams in year 2092, four misfits unearth explosive secrets during the attempted trade of a wide-eyed humanoid.",2021,6.5,29661
"Strip Down, Rise Up",Michèle Ohayon,,R,113,"In an effort to reclaim their bodies and lives, a group of women explore the intersections of movement and meaning in a powerful pole dancing program.",2021,5.5,751
Below Zero,Lluís Quílez,"Javier Gutiérrez, Karra Elejalde, Luis Callejo, Andrés Gertrúdix, Isak Ferriz, Édgar Vittorino, Miquel Gelabert, Florin Opritescu, Àlex Monner, Patrick Criado",TV-MA,107,"When a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures.",2021,6.2,21913
The Dig,Simon Stone,"Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn, Ben Chaplin, Ken Stott",PG-13,113,"On the eve of World War II, a British widow hires a self-taught archaeologist to dig up mysterious formations on her land, leading to a staggering find.",2021,7.1,84823
Accomplice,Jeremy Grant,"Kurt Sorge, Tom Van Steenbergen, Cameron Zink, Graham Agassiz, Tyler McCaul, Cameron McCaul, Ethan Nell, Hannah Bergemann, Carson Storch, Brandon Semenuk, Veronique Sandler, Nico Vink, Garett Buehler, Jaxson Riddle, Andreu Lacondeguy, Paul Genovese, Paul Basagoitia",TV-14,52,Traverse the globe with the world's top riders as they pedal through rugged terrain and majestic locations in this visual homage to the bicycle.,2020,7.2,425
Penguin Bloom,Glendyn Ivin,"Naomi Watts, Andrew Lincoln, Jacki Weaver, Griffin Murray-Johnston, Rachel House, Leeanna Walsman, Lisa Hensley, Felix Cameron, Abe Clifford-Barr",TV-14,95,"As a mom copes with the aftermath of a harrowing accident, she finds inspiration from an injured magpie taken in by her family. Based on a true story.",2020,6.8,12785
The White Tiger,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Mahesh Manjrekar, Vijay Maurya",R,127,The ambitious driver for a rich Indian family uses his wit and cunning to escape from poverty and become an entrepreneur. Based on the bestselling novel.,2021,7.1,67161
Outside the Wire,Mikael Håfström,"Anthony Mackie, Damson Idris, Emily Beecham, Michael Kelly, Pilou Asbæk",R,116,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.",2021,5.4,46325
What Would Sophia Loren Do?,Ross Kauffman,"Nancy ""Vincenza Careri"" Kulik, Sophia Loren",TV-14,32,"In this delightful short documentary, an Italian American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren.",2021,6.6,883
Wish You,Sung Do-jun,"Kang In-soo, Lee Sang, Soo-bin",TV-PG,102,"Singing and dreaming together, a talented singer-songwriter and a same-aged keyboardist add harmony and love to each other’s lives.",2021,6.4,1356
Chris Rock Total Blackout: The Tamborine Extended Cut,Chris Rock,Chris Rock,TV-MA,98,"In this extended cut of his 2018 special, Chris Rock takes the stage for a special filled with searing observations on fatherhood, infidelity and politics.",2021,7.0,635
"Crack: Cocaine, Corruption & Conspiracy",Stanley Nelson,,TV-MA,90,"A cheap, powerful drug emerges during a recession, igniting a moral panic fueled by racism. Explore the complex history of crack in the 1980s.",2021,6.7,3949
Charming,Ross Venokur,"Wilmer Valderrama, Demi Lovato, Sia, Nia Vardalos, Ashley Tisdale, Avril Lavigne, G.E.M., John Cleese, Chris Harrison, Dee Bradley Baker, Carlos Alazraqui",TV-Y7,85,"On the eve of his 21st birthday, an adored prince must find his one, true soulmate before a spell takes away all love from his kingdom.",2018,5.6,4030
Stuck Apart,,"Engin Günaydın, Haluk Bilginer, Binnur Kaya, Öner Erkan, İrem Sak, Fatih Artman, Gülçin Santırcıoğlu, İlker Aksum, Hülya Duyar, Göktuğ Yıldırım, Helin Kandemir",TV-MA,97,"Entrenched in a midlife crisis, Aziz seeks solace from his mundane job, lonesome friends and rowdy family while pretending to have his act together.",2021,6.0,11513
The Minimalists: Less Is Now,,,TV-14,54,They've built a movement out of minimalism. Longtime friends Joshua Fields Millburn and Ryan Nicodemus share how our lives can be better with less.,2021,5.9,5236
What Happened to Mr. Cha?,Kim Dong-kyu,"Cha In-pyo, Cho Dal-hwan, Song Jae-ryong",TV-MA,102,"With the peak of his career long behind him, an actor clings to his past glory — until a sudden wake-up call forces him to face who he's become.",2021,4.4,403
